--- watch ---
3-gatsu no Lion | Akari Kawamoto 🚫 ($disable)
Hibike! Euphonium | Tsubame Kamaya 🚫 ($disable)
Hibike! Euphonium | Yuuko Yoshikawa 🚫 ($disable)
Higashi no Eden | Akira Takizawa 🚫 ($disable)
Higashi no Eden | Kazuomi Hirasawa 🚫 ($disable)
Higashi no Eden | Kuroha Shiratori 🚫 ($disable)
Higashi no Eden | Saki Morimi 🚫 ($disable)
Highschool of the Dead | Shizuka Marikawa 🚫 ($disable)
Higurashi no Naku Koro ni | Akane Sonozaki 🚫 ($disable)
Higurashi no Naku Koro ni | Hanyuu 🚫 ($disable)
Higurashi no Naku Koro ni | Mion Sonozaki 🚫 ($disable)
Higurashi no Naku Koro ni | Miyo Takano 🚫 ($disable)
Higurashi no Naku Koro ni | Ouka Furude 🚫 ($disable)
Higurashi no Naku Koro ni | Rina Mamiya 🚫 ($disable)
Higurashi no Naku Koro ni | Rumiko Chie 🚫 ($disable)
Higurashi no Naku Koro ni | Shion Sonozaki 🚫 ($disable)
Higurashi no Naku Koro ni | Tomoe Minai 🚫 ($disable)
Hikaru no Go | Akari Fujisaki 🚫 ($disable)
Hikaru no Go | Fujiwara no Sai 🚫 ($disable)
Hikaru no Go | Hikaru Shindou 🚫 ($disable)
Hikaru no Go | Kiyoharu Yashiro 🚫 ($disable)
Hikaru no Go | Seiji Ogata 🚫 ($disable)
Hikaru no Go | Shinichiro Isumi 🚫 ($disable)
Hikaru no Go | Yuki Mitani 🚫 ($disable)
Hinako Note | Chiaki Hagino
Hinako Note | Hinako Sakuragi
Hinako Note | Hinako's Mother
Hinako Note | Kuina Natsukawa
Hinako Note | Mayuki Hiiragi
Hinako Note | Ruriko Kuroyanagi
Hinako Note | Yua Nakajima
Hinamatsuri | Anzu 🚫 ($disable)
Hinamatsuri | Hina 🚫 ($disable)
Hinamatsuri | Mao (HM) 🚫 ($disable)
Hinamatsuri | Utako 🚫 ($disable)
Hinamatsuri | Yassan (HM) 🚫 ($disable)
Hinamatsuri | Yoshifumi Nitta 🚫 ($disable)
Hourou Musuko | Anna Suehiro 🚫 ($disable)
Hourou Musuko | Chizuru Sarashina 🚫 ($disable)
Hourou Musuko | Hiroyuki Yoshida 🚫 ($disable)
Hourou Musuko | Saori Chiba 🚫 ($disable)
Hourou Musuko | Shuuichi Nitori 🚫 ($disable)
Hourou Musuko | Yoshino Takatsuki 🚫 ($disable)
Ichigo Mashimaro | Ana Coppola 🚫 ($disable)
Ichigo Mashimaro | Chika Itou 🚫 ($disable)
Ichigo Mashimaro | Matsuri Sakuragi 🚫 ($disable)
Ichigo Mashimaro | Miu Matsuoka 🚫 ($disable)
Ichigo Mashimaro | Nobue Itou 🚫 ($disable)
Ie Naki Ko | Rémi
Ima, Soko ni Iru Boku | Lala-Ru
Ima, Soko ni Iru Boku | Nabuca
Ima, Soko ni Iru Boku | Sara Ringwalt
Ima, Soko ni Iru Boku | Shuuzou Matsutani
Iriya no Sora, UFO no Natsu | Kana Iriya 🚫 ($disable)
Jaku-Chara Tomozaki-kun | Aoi Hinami 🚫 ($disable)
Jaku-Chara Tomozaki-kun | Fumiya Tomozaki 🚫 ($disable)
Jaku-Chara Tomozaki-kun | Hanabi Natsubayashi 🚫 ($disable)
Jaku-Chara Tomozaki-kun | Minami Nanami 🚫 ($disable)
Jaku-Chara Tomozaki-kun | Shuuji Nakamura 🚫 ($disable)
Jaku-Chara Tomozaki-kun | Takahiro Mizusawa 🚫 ($disable)
Jaku-Chara Tomozaki-kun | Takei 🚫 ($disable)
Jaku-Chara Tomozaki-kun | Tsugumi Narita 🚫 ($disable)
Jaku-Chara Tomozaki-kun | Yuzu Izumi 🚫 ($disable)
Jinrui wa Suitai Shimashita | Pion 🚫 ($disable)
Jinrui wa Suitai Shimashita | Watashi 🚫 ($disable)
Jinrui wa Suitai Shimashita | Y (Jintai) 🚫 ($disable)
Joshikousei no Mudazukai | Airi Nobara 🚫 ($disable)
Joshikousei no Mudazukai | Akane Kikuchi 🚫 ($disable)
Joshikousei no Mudazukai | Hisui Kujou 🚫 ($disable)
Joshikousei no Mudazukai | Kanade Ninomae 🚫 ($disable)
Joshikousei no Mudazukai | Kohaku Kujou 🚫 ($disable)
Joshikousei no Mudazukai | Lily Someya 🚫 ($disable)
Joshikousei no Mudazukai | Masataka Sawatari 🚫 ($disable)
Joshikousei no Mudazukai | Minami Yamamoto 🚫 ($disable)
Joshikousei no Mudazukai | Nozomu Tanaka 🚫 ($disable)
Joshikousei no Mudazukai | Saku Momoi 🚫 ($disable)
Joshikousei no Mudazukai | Shiori Saginomiya 🚫 ($disable)
Joshikousei no Mudazukai | Utako Nakamura 🚫 ($disable)
Joshiraku | Gankyou Kuurubiyuutei 🚫 ($disable)
Joshiraku | Kigurumi Haroukitei 🚫 ($disable)
Joshiraku | Kukuru Anrakutei 🚫 ($disable)
Joshiraku | Marii Buratei 🚫 ($disable)
Joshiraku | Tetora Bouhatei 🚫 ($disable)
Joshiraku | Uzannu Uzatei 🚫 ($disable)
Just Because! | Eita Izumi 🚫 ($disable)
Just Because! | Ena Komiya 🚫 ($disable)
Just Because! | Hazuki Morikawa 🚫 ($disable)
Just Because! | Mio Natsume 🚫 ($disable)
Just Because! | Yoriko Inui 🚫 ($disable)
K-On! | Jun Suzuki 🚫 ($disable)
K-On! | Megumi Sokabe 🚫 ($disable)
Kaguya-sama wa Kokurasetai | Kaguya Shinomiya 🚫 ($disable)
Kaguya-sama wa Kokurasetai | Kyoko Ootomo 🚫 ($disable)
Kaguya-sama wa Kokurasetai | Rei Onodera 🚫 ($disable)
Kakuriyo no Yadomeshi | Akatsuki (KnY) 🚫 ($disable)
Kakuriyo no Yadomeshi | Aoi Tsubaki 🚫 ($disable)
Kakuriyo no Yadomeshi | Oodanna 🚫 ($disable)
Kakuriyo no Yadomeshi | Ranmaru 🚫 ($disable)
Kamisama Hajimemashita | Akuraou 🚫 ($disable)
Kamisama Hajimemashita | Jirou 🚫 ($disable)
Kamisama Hajimemashita | Kirihito Mouri 🚫 ($disable)
Kamisama Hajimemashita | Mikage (KH) 🚫 ($disable)
Kamisama Hajimemashita | Mizuki 🚫 ($disable)
Kamisama Hajimemashita | Nanami Momozono 🚫 ($disable)
Kamisama Hajimemashita | Numa no Himemiko 🚫 ($disable)
Kamisama Hajimemashita | Ookuninushi 🚫 ($disable)
Kamisama Hajimemashita | Shinjirou Kurama 🚫 ($disable)
Kamisama Hajimemashita | Suirou 🚫 ($disable)
Kamisama Hajimemashita | Tomoe 🚫 ($disable)
Kanata no Astra | Aries Spring 🚫 ($disable)
Kanata no Astra | Beego 🚫 ($disable)
Kanata no Astra | Charce Lacroix 🚫 ($disable)
Kanata no Astra | Emma Spring 🚫 ($disable)
Kanata no Astra | Funicia Raffaeli 🚫 ($disable)
Kanata no Astra | Kanata Hoshijima 🚫 ($disable)
Kanata no Astra | Luca Esposito 🚫 ($disable)
Kanata no Astra | Polina Livinskaya 🚫 ($disable)
Kanata no Astra | Quitterie Raffaeli 🚫 ($disable)
Kanata no Astra | Seira (KnA) 🚫 ($disable)
Kanata no Astra | Ulgar Zweig 🚫 ($disable)
Kanata no Astra | Yunhua Lu 🚫 ($disable)
Kanata no Astra | Zack Walker 🚫 ($disable)
Karakai Jouzu no Takagi-san | Kimura (Takagi) 🚫 ($disable)
Karakai Jouzu no Takagi-san | Takagi 🚫 ($disable)
Kase-san Series | Mikawa 🚫 ($disable)
Kase-san Series | Tomoka Kase 🚫 ($disable)
Kase-san Series | Yui Yamada 🚫 ($disable)
Kazemakase Tsukikage Ran | Myao (KTR)
Kazemakase Tsukikage Ran | Ran Tsukikage
Kemono no Souja Erin | Erin (KnSE) 🚫 ($disable)
Kemono no Souja Erin | Ial 🚫 ($disable)
Kemono no Souja Erin | John Tousana 🚫 ($disable)
Kemono no Souja Erin | Kirik 🚫 ($disable)
Kemono no Souja Erin | Lilan 🚫 ($disable)
Kemono no Souja Erin | Soyon 🚫 ($disable)
Kimi ni Todoke | Ayane Yano 🚫 ($disable)
Kimi ni Todoke | Chizuru Yoshida 🚫 ($disable)
Kimi ni Todoke | Kazuichi Arai 🚫 ($disable)
Kimi ni Todoke | Kento Miura 🚫 ($disable)
Kimi ni Todoke | Ryuu Sanada 🚫 ($disable)
Kimi ni Todoke | Sawako Kuronuma 🚫 ($disable)
Kimi ni Todoke | Shouta Kazehaya 🚫 ($disable)
Kimi ni Todoke | Soichi Jonouchi 🚫 ($disable)
Kimi ni Todoke | Ume Kurumizawa 🚫 ($disable)
Kimi no Iru Machi | Akari Kaga 🚫 ($disable)
Kimi no Iru Machi | Kiyomi Asakura 🚫 ($disable)
Kimi no Iru Machi | Kyousuke Kazama 🚫 ($disable)
Kimi no Iru Machi | Nanami Kanzaki 🚫 ($disable)
Kimi no Iru Machi | Rin Eba 🚫 ($disable)
Kimi no Iru Machi | Shiho Amagi 🚫 ($disable)
Kimi no Iru Machi | Yuzuki Eba 🚫 ($disable)
Kimi to Boku. | Chizuru Tachibana (KtB) 🚫 ($disable)
Kimi to Boku. | Kaname Tsukahara 🚫 ($disable)
Kimi to Boku. | Kayo Sakura 🚫 ($disable)
Kimi to Boku. | Masaki Satou 🚫 ($disable)
Kimi to Boku. | Shun Matsuoka 🚫 ($disable)
Kimi to Boku. | Yuuki Asaba 🚫 ($disable)
Kimi to Boku. | Yuuta Asaba 🚫 ($disable)
Kindaichi Shounen no Jikenbo | Hajime Kindaichi 🚫 ($disable)
Kindaichi Shounen no Jikenbo | Kengo Akechi 🚫 ($disable)
Kindaichi Shounen no Jikenbo | Miyuki Nanase 🚫 ($disable)
Kino no Tabi | Hermes 🚫 ($disable)
Kino no Tabi | Kino 🚫 ($disable)
Kino no Tabi | Nimya Tchuhachkova 🚫 ($disable)
Kino no Tabi | Photo 🚫 ($disable)
Kino no Tabi | Sakura (KnT) 🚫 ($disable)
Kino no Tabi | Shishou 🚫 ($disable)
Kino no Tabi | Sou (KnT) 🚫 ($disable)
Kino no Tabi | Tifana 🚫 ($disable)
Kitakubu Katsudou Kiroku | Botan Oohagi 🚫 ($disable)
Kitakubu Katsudou Kiroku | Claire Kokonoe 🚫 ($disable)
Kitakubu Katsudou Kiroku | Karin Touno 🚫 ($disable)
Kitakubu Katsudou Kiroku | Natsuki Andou 🚫 ($disable)
Kitakubu Katsudou Kiroku | Sakura Doumyouji 🚫 ($disable)
Kodomo no Omocha | Akito Hayama
Kodomo no Omocha | Fuka Matsui
Kodomo no Omocha | Misako Kurata
Kodomo no Omocha | Naozumi Kamura
Kodomo no Omocha | Sana Kurata
Kodomo no Omocha | Tsuyoshi Ohki
Koi Kaze | Koushirou Saeki 🚫 ($disable)
Koi Kaze | Nanoka Kohinata 🚫 ($disable)
Koi to Senkyo to Chocolate | Chisato Sumiyoshi 🚫 ($disable)
Koi to Senkyo to Chocolate | Isara Aomi 🚫 ($disable)
Koi to Senkyo to Chocolate | Michiru Morishita 🚫 ($disable)
Koi to Senkyo to Chocolate | Mifuyu Kiba 🚫 ($disable)
Koi to Senkyo to Chocolate | Satsuki Shinonome 🚫 ($disable)
Koi to Yobu ni wa Kimochiwarui | Arie Matsushima 🚫 ($disable)
Koi to Yobu ni wa Kimochiwarui | Ichika Arima 🚫 ($disable)
Koi to Yobu ni wa Kimochiwarui | Kai Tamaru 🚫 ($disable)
Koi to Yobu ni wa Kimochiwarui | Masuda (KoiKimo) 🚫 ($disable)
Koi to Yobu ni wa Kimochiwarui | Rio Amakusa 🚫 ($disable)
Koi to Yobu ni wa Kimochiwarui | Ryou Amakusa 🚫 ($disable)
Koi wa Ameagari no You ni | Akira Tachibana 🚫 ($disable)
Koi wa Ameagari no You ni | Masami Kondou 🚫 ($disable)
Koi wa Ameagari no You ni | Yuuto Kondo 🚫 ($disable)
Kono Bijutsubu ni wa Mondai ga Aru! | Collette Colletour 🚫 ($disable)
Kono Bijutsubu ni wa Mondai ga Aru! | Kaori Ayase 🚫 ($disable)
Kono Bijutsubu ni wa Mondai ga Aru! | Magical Ribbon 🚫 ($disable)
Kono Bijutsubu ni wa Mondai ga Aru! | Maria Imari 🚫 ($disable)
Kono Bijutsubu ni wa Mondai ga Aru! | Mizuki Usami 🚫 ($disable)
Kono Bijutsubu ni wa Mondai ga Aru! | Moeka 🚫 ($disable)
Kono Bijutsubu ni wa Mondai ga Aru! | Nonoka 🚫 ($disable)
Kono Bijutsubu ni wa Mondai ga Aru! | President (Konobi) 🚫 ($disable)
Kono Bijutsubu ni wa Mondai ga Aru! | Sayaka Honda 🚫 ($disable)
Kono Bijutsubu ni wa Mondai ga Aru! | Subaru Uchimaki 🚫 ($disable)
Kono Bijutsubu ni wa Mondai ga Aru! | Yumeko Tachibana 🚫 ($disable)
Kono Bijutsubu ni wa Mondai ga Aru! | Yurine Uchimaki 🚫 ($disable)
Kono Minikuku mo Utsukushii Sekai | Akari (KonoMini) 🚫 ($disable)
Kono Oto Tomare! | Akira Doujima 🚫 ($disable)
Kono Oto Tomare! | Chika Kudou 🚫 ($disable)
Kono Oto Tomare! | Hiro Kurusu 🚫 ($disable)
Kono Oto Tomare! | Kouta Mizuhara 🚫 ($disable)
Kono Oto Tomare! | Michitaka Sakai 🚫 ($disable)
Kono Oto Tomare! | Natsu Momoya 🚫 ($disable)
Kono Oto Tomare! | Saneyasu Adachi 🚫 ($disable)
Kono Oto Tomare! | Satowa Houzuki 🚫 ($disable)
Kono Oto Tomare! | Suzuka Takinami 🚫 ($disable)
Kono Oto Tomare! | Takezou Kurata 🚫 ($disable)
Kono Oto Tomare! | Tetsuki Takaoka 🚫 ($disable)
Kono Subarashii Sekai ni Shukufuku wo! | Belzerg Stylish Sword Iris 🚫 ($disable)
Konohana Kitan | Aoi (KK) 🚫 ($disable)
Konohana Kitan | Hiiragi (KK) 🚫 ($disable)
Konohana Kitan | Kiri 🚫 ($disable)
Konohana Kitan | Momo (KK) 🚫 ($disable)
Konohana Kitan | Natsume (KK) 🚫 ($disable)
Konohana Kitan | Okiku 🚫 ($disable)
Konohana Kitan | Ren (KK) 🚫 ($disable)
Konohana Kitan | Sakura (KK) 🚫 ($disable)
Konohana Kitan | Satsuki 🚫 ($disable)
Konohana Kitan | Tsubaki (KK) 🚫 ($disable)
Konohana Kitan | Urinosuke 🚫 ($disable)
Konohana Kitan | Yae-san (KK) 🚫 ($disable)
Konohana Kitan | Yuzu 🚫 ($disable)
Kotoura-san | Haruka Kotoura
Kotoura-san | Hiyori Moritani
Kotoura-san | Yoshihisa Manabe
Kotoura-san | Yuriko Mifune
Kuma Kuma Kuma Bear | Fina 🚫 ($disable)
Kuma Kuma Kuma Bear | Misa Faren Gramm 🚫 ($disable)
Kuma Kuma Kuma Bear | Noire Foschurose 🚫 ($disable)
Kuma Kuma Kuma Bear | Sanya 🚫 ($disable)
Kuma Kuma Kuma Bear | Shia Foschurose 🚫 ($disable)
Kuzu no Honkai | Akane Minagawa 🚫 ($disable)
Kuzu no Honkai | Atsuya Kirishima 🚫 ($disable)
Kuzu no Honkai | Hanabi Yasuraoka 🚫 ($disable)
Kuzu no Honkai | Mugi Awaya 🚫 ($disable)
Kuzu no Honkai | Sanae Ebato 🚫 ($disable)
Kyokou Suiri | Karin Nanase 🚫 ($disable)
Kyokou Suiri | Kotoko Iwanaga 🚫 ($disable)
Kyokou Suiri | Rikka Sakuragawa 🚫 ($disable)
Kyokou Suiri | Saki Yumihara 🚫 ($disable)
Kyokou Suiri | Steel Lady Nanase 🚫 ($disable)
Kyoukaisenjou no Horizon | Date Narumi 🚫 ($disable)
Kyoukaisenjou no Horizon | Elizabeth (KnH) 🚫 ($disable)
Kyoukaisenjou no Horizon | Futayo Honda 🚫 ($disable)
Kyoukaisenjou no Horizon | Gin Tachibana 🚫 ($disable)
Kyoukaisenjou no Horizon | Juana 🚫 ($disable)
Kyoukaisenjou no Horizon | Kimi Aoi 🚫 ($disable)
Kyoukaisenjou no Horizon | Margot Knight 🚫 ($disable)
Kyoukaisenjou no Horizon | Masazumi Honda 🚫 ($disable)
Kyoukaisenjou no Horizon | Musashi (KnH) 🚫 ($disable)
Kyoukaisenjou no Horizon | Suzu Mukai 🚫 ($disable)
Kyoukaisenjou no Horizon | Tomoe Gozen (KnH) 🚫 ($disable)
Kyoukaisenjou no Horizon | Yoshiki Aoi 🚫 ($disable)
Little Busters! | A-chan (LB!) 🚫 ($disable)
Little Busters! | Belka (LB!) 🚫 ($disable)
Little Busters! | Kengo Miyazawa 🚫 ($disable)
Little Busters! | Kudryavka Noumi 🚫 ($disable)
Little Busters! | Kyousuke Natsume 🚫 ($disable)
Little Busters! | Masato Inohara 🚫 ($disable)
Little Busters! | Midori Nishizono 🚫 ($disable)
Little Busters! | Mio Nishizono 🚫 ($disable)
Little Busters! | Miyuki Koshiki 🚫 ($disable)
Little Busters! | Rin Natsume 🚫 ($disable)
Little Busters! | Sasami Sasasegawa 🚫 ($disable)
Little Busters! | Saya Tokido 🚫 ($disable)
Little Busters! | Shiina Arizuki 🚫 ($disable)
Little Busters! | Strelka 🚫 ($disable)
Little Busters! | Ui Arizuki 🚫 ($disable)
Little Busters! | Yuiko Kurugaya 🚫 ($disable)
Little Busters! | Yuuki Himuro 🚫 ($disable)
Lovely★Complex | Atsushi Ootani 🚫 ($disable)
Lovely★Complex | Chiharu Tanaka 🚫 ($disable)
Lovely★Complex | Heikichi Nakao 🚫 ($disable)
Lovely★Complex | Mayu Kanzaki 🚫 ($disable)
Lovely★Complex | Mimi Yoshioka 🚫 ($disable)
Lovely★Complex | Nobuko Ishihara 🚫 ($disable)
Lovely★Complex | Risa Koizumi 🚫 ($disable)
Lovely★Complex | Ryoji Suzuki 🚫 ($disable)
Lovely★Complex | Seiko Kotobuki 🚫 ($disable)
Lycoris Recoil | Chisato Nishikigi
Lycoris Recoil | Takina Inoue
Magia Record: Puella Magi Madoka Magica Side Story | Alina Gray 🚫 ($disable)
Magia Record: Puella Magi Madoka Magica Side Story | Felicia Mitsuki 🚫 ($disable)
Magia Record: Puella Magi Madoka Magica Side Story | Iroha Tamaki 🚫 ($disable)
Magia Record: Puella Magi Madoka Magica Side Story | Kaede Akino 🚫 ($disable)
Magia Record: Puella Magi Madoka Magica Side Story | Kuroe 🚫 ($disable)
Magia Record: Puella Magi Madoka Magica Side Story | Little Kyuubey 🚫 ($disable)
Magia Record: Puella Magi Madoka Magica Side Story | Mifuyu Azusa 🚫 ($disable)
Magia Record: Puella Magi Madoka Magica Side Story | Mitama Yakumo 🚫 ($disable)
Magia Record: Puella Magi Madoka Magica Side Story | Momoko Togame 🚫 ($disable)
Magia Record: Puella Magi Madoka Magica Side Story | Rena Minami 🚫 ($disable)
Magia Record: Puella Magi Madoka Magica Side Story | Sana Futaba 🚫 ($disable)
Magia Record: Puella Magi Madoka Magica Side Story | Tsukasa Amane 🚫 ($disable)
Magia Record: Puella Magi Madoka Magica Side Story | Tsukuyo Amane 🚫 ($disable)
Magia Record: Puella Magi Madoka Magica Side Story | Tsuruno Yui 🚫 ($disable)
Magia Record: Puella Magi Madoka Magica Side Story | Ui Tamaki 🚫 ($disable)
Magia Record: Puella Magi Madoka Magica Side Story | Yachiyo Nanami 🚫 ($disable)
Mahoutsukai ni Taisetsu na Koto | Yume Kikuchi 🚫 ($disable)
Mamahaha no Tsurego ga Motokano datta | Akatsuki Minami 🚫 ($disable)
Mamahaha no Tsurego ga Motokano datta | Isana Higashira 🚫 ($disable)
Mamahaha no Tsurego ga Motokano datta | Mizuto Irido 🚫 ($disable)
Mamahaha no Tsurego ga Motokano datta | Yume Irido 🚫 ($disable)
Maria-sama ga Miteru | Eriko Torii 🚫 ($disable)
Maria-sama ga Miteru | Nana Arima 🚫 ($disable)
Maria-sama ga Miteru | Sachiko Ogasawara 🚫 ($disable)
Maria-sama ga Miteru | Sei Satou 🚫 ($disable)
Maria-sama ga Miteru | Shimako Toudou 🚫 ($disable)
Maria-sama ga Miteru | Touko Matsudaira 🚫 ($disable)
Maria-sama ga Miteru | Yoshino Shimazu 🚫 ($disable)
Maria-sama ga Miteru | Youko Mizuno 🚫 ($disable)
Maria-sama ga Miteru | Yumi Fukuzawa 🚫 ($disable)
Mawaru Penguindrum | Hibari Isora
Mawaru Penguindrum | Hikari Utada
Mawaru Penguindrum | Himari Takakura
Mawaru Penguindrum | Kanba Takakura
Mawaru Penguindrum | Masako Natsume
Mawaru Penguindrum | Momoka Oginome
Mawaru Penguindrum | Princess of the Crystal
Mawaru Penguindrum | Ringo Oginome
Mawaru Penguindrum | Sanetoshi Watase
Mawaru Penguindrum | Shouma Takakura
Mawaru Penguindrum | Yuri Tokikago
Miira no Kaikata | Asa Motegi 🚫 ($disable)
Miira no Kaikata | Kaede Kashiwagi 🚫 ($disable)
Miira no Kaikata | Tazuki Kamiya 🚫 ($disable)
Minami-ke | Akira Minami 🚫 ($disable)
Minami-ke | Atsuko 🚫 ($disable)
Minami-ke | Chiaki Minami 🚫 ($disable)
Minami-ke | Fujioka 🚫 ($disable)
Minami-ke | Haruka Minami 🚫 ($disable)
Minami-ke | Hayami 🚫 ($disable)
Minami-ke | Hitomi (MK) 🚫 ($disable)
Minami-ke | Hosaka 🚫 ($disable)
Minami-ke | Kana Minami 🚫 ($disable)
Minami-ke | Keiko (MK) 🚫 ($disable)
Minami-ke | Maki (MK) 🚫 ($disable)
Minami-ke | Makoto (MK) 🚫 ($disable)
Minami-ke | Miyuki (MK) 🚫 ($disable)
Minami-ke | Natsuki Minami 🚫 ($disable)
Minami-ke | Riko (MK) 🚫 ($disable)
Minami-ke | Shuuichi 🚫 ($disable)
Minami-ke | Touma Minami 🚫 ($disable)
Minami-ke | Yoshino (MK) 🚫 ($disable)
Minami-ke | Yuka Uchida 🚫 ($disable)
Mirai Shounen Conan | Conan (MSC)
Mirai Shounen Conan | Lana (MSC)
Mirai Shounen Conan | Ojii
Mirai Shounen Conan | Tera
Mononoke | Kusuriuri 🚫 ($disable)
Mononoke | Man in Fox Mask 🚫 ($disable)
Moribito Series | Balsa Yonsa 🚫 ($disable)
Moribito Series | Chagum 🚫 ($disable)
Moribito Series | Torogai 🚫 ($disable)
Moyashimon | Haruka Hasegawa
Moyashimon | Hazuki Oikawa
Moyashimon | Kei Yuuki
Moyashimon | Marie (Moyashimon)
Mushishi | Adashino 🚫 ($disable)
Mushishi | Ginko 🚫 ($disable)
Mushishi | Kaya (Mushishi) 🚫 ($disable)
Mushishi | Nui 🚫 ($disable)
Mushishi | Tanyuu Karibusa 🚫 ($disable)
Mushoku Tensei | Aisha Greyrat 🚫 ($disable)
Mushoku Tensei | Ariel Anemoi Asura 🚫 ($disable)
Mushoku Tensei | Atoferatofe Raibaku 🚫 ($disable)
Mushoku Tensei | Benedict Kingdragon 🚫 ($disable)
Mushoku Tensei | Eris Boreas Greyrat 🚫 ($disable)
Mushoku Tensei | Ghyslaine Dedorudia 🚫 ($disable)
Mushoku Tensei | Hilda Boreas Greyrat 🚫 ($disable)
Mushoku Tensei | Julie (MT) 🚫 ($disable)
Mushoku Tensei | Kishirika Kishirisu 🚫 ($disable)
Mushoku Tensei | Lilia Greyrat 🚫 ($disable)
Mushoku Tensei | Lucy Greyrat 🚫 ($disable)
Mushoku Tensei | Luke Notos Greyrat 🚫 ($disable)
Mushoku Tensei | Minitona Dedoldia 🚫 ($disable)
Mushoku Tensei | Nanahoshi Shizuka 🚫 ($disable)
Mushoku Tensei | Orsted 🚫 ($disable)
Mushoku Tensei | Paul Greyrat 🚫 ($disable)
Mushoku Tensei | Pursena Adorudia 🚫 ($disable)
Mushoku Tensei | Rinia Dedorudia 🚫 ($disable)
Mushoku Tensei | Rokari Migurdia 🚫 ($disable)
Mushoku Tensei | Rowin Migurdia 🚫 ($disable)
Mushoku Tensei | Roxy Migurdia 🚫 ($disable)
Mushoku Tensei | Ruijerd Superdia 🚫 ($disable)
Mushoku Tensei | Sara (MT) 🚫 ($disable)
Mushoku Tensei | Sylphiette 🚫 ($disable)
Mushoku Tensei | Tersena Adoldia 🚫 ($disable)
Mushoku Tensei | Tristina Purplehorse 🚫 ($disable)
Mushoku Tensei | Zenith Greyrat 🚫 ($disable)
Myself;Yourself | Aoi Oribe
Myself;Yourself | Asami Hoshino
Myself;Yourself | Hinako Mochida
Myself;Yourself | Nanaka Yatsushiro
Myself;Yourself | Sana Hidaka
Myself;Yourself | Shuri Wakatsuki
Myself;Yourself | Shusuke Wakatsuki
Nagi no Asukara | Akari Sakishima 🚫 ($disable)
Nagi no Asukara | Akira Shiodome 🚫 ($disable)
Nagi no Asukara | Chisaki Hiradaira 🚫 ($disable)
Nagi no Asukara | Hikari Sakishima 🚫 ($disable)
Nagi no Asukara | Kaname Isaki 🚫 ($disable)
Nagi no Asukara | Manaka Mukaido 🚫 ($disable)
Nagi no Asukara | Miuna Shiodome 🚫 ($disable)
Nagi no Asukara | Tsumugu Kihara 🚫 ($disable)
Nagi no Asukara | Uroko 🚫 ($disable)
Nami yo Kiitekure | Madoka Chishiro 🚫 ($disable)
Nami yo Kiitekure | Makie Tachibana 🚫 ($disable)
Nami yo Kiitekure | Minare Koda 🚫 ($disable)
Nami yo Kiitekure | Mizuho Nanba 🚫 ($disable)
Natsume Yuujinchou | Atsushi Kitamoto 🚫 ($disable)
Natsume Yuujinchou | Benio 🚫 ($disable)
Natsume Yuujinchou | Chuukyuu 🚫 ($disable)
Natsume Yuujinchou | Fuzuki 🚫 ($disable)
Natsume Yuujinchou | Gen (NY) 🚫 ($disable)
Natsume Yuujinchou | Hiiragi 🚫 ($disable)
Natsume Yuujinchou | Hinoe 🚫 ($disable)
Natsume Yuujinchou | Hotaru (NY) 🚫 ($disable)
Natsume Yuujinchou | Houzuki 🚫 ($disable)
Natsume Yuujinchou | Jun Sasada 🚫 ($disable)
Natsume Yuujinchou | Kaname Tanuma 🚫 ($disable)
Natsume Yuujinchou | Kirinoha 🚫 ($disable)
Natsume Yuujinchou | Kogitsune 🚫 ($disable)
Natsume Yuujinchou | Madara (NY) 🚫 ($disable)
Natsume Yuujinchou | Misuzu 🚫 ($disable)
Natsume Yuujinchou | Reiko Natsume 🚫 ($disable)
Natsume Yuujinchou | Riou (NY) 🚫 ($disable)
Natsume Yuujinchou | Satoru Nishimura 🚫 ($disable)
Natsume Yuujinchou | Seiji Matoba 🚫 ($disable)
Natsume Yuujinchou | Shuuichi Natori 🚫 ($disable)
Natsume Yuujinchou | Takashi Natsume 🚫 ($disable)
Natsume Yuujinchou | Tama (NY) 🚫 ($disable)
Natsume Yuujinchou | The Tree Youkai 🚫 ($disable)
Natsume Yuujinchou | Tooru Taki 🚫 ($disable)
Natsume Yuujinchou | Touko Fujiwara 🚫 ($disable)
Natsume Yuujinchou | Tsubame (NY) 🚫 ($disable)
Natsume Yuujinchou | Tsuyukami 🚫 ($disable)
Natsume Yuujinchou | Yukihana 🚫 ($disable)
Natsume Yuujinchou | Yuriko Ogata 🚫 ($disable)
Natsuyuki Rendezvous | Atsushi Shimao
Natsuyuki Rendezvous | Rokka Shimao
Natsuyuki Rendezvous | Ryousuke Hazuki
Nazo no Kanojo X | Mikoto Urabe 🚫 ($disable)
Nijiiro Days | Anna Kobayakawa 🚫 ($disable)
Nijiiro Days | Keiichi Katakura 🚫 ($disable)
Nijiiro Days | Mari Tsutsui 🚫 ($disable)
Nijiiro Days | Natsuki Hashiba 🚫 ($disable)
Nijiiro Days | Nozomi Matsunaga 🚫 ($disable)
Nijiiro Days | Tomoya Matsunaga 🚫 ($disable)
Nijiiro Days | Tsuyoshi Naoe 🚫 ($disable)
Nijiiro Days | Wataru Mochizuki 🚫 ($disable)
Nijiiro Days | Yukiko Asai 🚫 ($disable)
Nijuuseiki Denki Mokuroku | Inako Momokawa
